speaker,contributions,words,weight_topic_0,weight_topic_1,weight_topic_2,weight_topic_3,weight_topic_4,mean_topic_0,mean_topic_1,mean_topic_2,mean_topic_3,mean_topic_4,total_topic_weight
Lord Tunnicliffe (Lab) [V],1,541,0.7149712263169465,0.025898784702312425,0.0009613902386958326,0.2572202420377595,0.0009483567042856859,0.7149712263169465,0.025898784702312425,0.0009613902386958326,0.2572202420377595,0.0009483567042856859,1.0
Matt Vickers (Stockton West),1,439,0.001025460601612608,0.0010240530246960903,0.9959050966436434,0.0010196192443611013,0.0010257704856869105,0.001025460601612608,0.0010240530246960903,0.9959050966436434,0.0010196192443611013,0.0010257704856869105,1.0
Mr Will Forster,1,65,0.9672180551716589,0.008135727712283191,0.008265141826520652,0.008153564614945338,0.008227510674592011,0.9672180551716589,0.008135727712283191,0.008265141826520652,0.008153564614945338,0.008227510674592011,1.0
Rishi Sunak,1,513,0.9960094201556222,0.001005064184509118,0.000991113671938346,0.001006292971526542,0.000988109016403788,0.9960094201556222,0.001005064184509118,0.000991113671938346,0.001006292971526542,0.000988109016403788,1.0
Sarah Owen (Luton North),1,59,0.010259687667517097,0.9589753553426867,0.010289867270136551,0.010281488121981364,0.010193601597678298,0.010259687667517097,0.9589753553426867,0.010289867270136551,0.010281488121981364,0.010193601597678298,1.0
Sir John Whittingdale (Maldon),1,118,0.004828540738736956,0.004852548835342868,0.9805778655171817,0.004870075314408885,0.004870969594329529,0.004828540738736956,0.004852548835342868,0.9805778655171817,0.004870075314408885,0.004870969594329529,1.0
The Archbishop of Canterbury,1,727,0.8407993442705083,0.0007679337532029201,0.0007733270659725803,0.1568876684531635,0.0007717264571527536,0.8407993442705083,0.0007679337532029201,0.0007733270659725803,0.1568876684531635,0.0007717264571527536,1.0
The Earl of Devon,1,76,0.007005956894327944,0.9718664015645633,0.006971638792595608,0.007129401508771494,0.007026601239741658,0.007005956894327944,0.9718664015645633,0.006971638792595608,0.007129401508771494,0.007026601239741658,1.0
The Economic Secretary to the Treasury (Richard Fuller),1,590,0.0007560017828685192,0.3277687926518138,0.0007533227956960125,0.6699639013721145,0.0007579813975072249,0.0007560017828685192,0.3277687926518138,0.0007533227956960125,0.6699639013721145,0.0007579813975072249,1.0
The Financial Secretary to the Treasury (Lord Livermore),1,76,0.40313167401310845,0.5794130694690914,0.005778291740550281,0.005773840270368004,0.005903124506881742,0.40313167401310845,0.5794130694690914,0.005778291740550281,0.005773840270368004,0.005903124506881742,1.0
The Lord Speaker (Lord McFall of Alcluith),1,13,0.05082856105983938,0.05016954049334988,0.05000496076195311,0.7989240595874998,0.05007287809735786,0.05082856105983938,0.05016954049334988,0.05000496076195311,0.7989240595874998,0.05007287809735786,1.0
The Minister for Security (Dan Jarvis),1,670,0.0005621038459597961,0.0005636680461700275,0.9977485921995949,0.0005615796387027737,0.0005640562695725162,0.0005621038459597961,0.0005636680461700275,0.9977485921995949,0.0005615796387027737,0.0005640562695725162,1.0
"The Minister of State, Ministry of Justice (Sarah Sackman)",1,110,0.003629016021249072,0.0036255577303367114,0.0035597239775453466,0.0035771483026804693,0.9856085539681884,0.003629016021249072,0.0036255577303367114,0.0035597239775453466,0.0035771483026804693,0.9856085539681884,1.0
"The Parliamentary Under-Secretary of State for Digital, Culture, Media and Sport (Stuart Andrew)",1,1823,0.0002340536410786277,0.9990640195997833,0.00023338411523204456,0.00023492842023638911,0.00023361422366963776,0.0002340536410786277,0.9990640195997833,0.00023338411523204456,0.00023492842023638911,0.00023361422366963776,1.0
Aaron Bell (Newcastle-under-Lyme),1,3915,0.00013306423836481095,0.999466422146958,0.00013281146272675786,0.00013419938092634442,0.00013350277102399898,0.00013306423836481095,0.999466422146958,0.00013281146272675786,0.00013419938092634442,0.00013350277102399898,0.9999999999999999
Baroness McIntosh of Pickering,1,29,0.7052824808391128,0.018824926704808634,0.23870892287289605,0.01870792044399522,0.018475749139187262,0.7052824808391128,0.018824926704808634,0.23870892287289605,0.01870792044399522,0.018475749139187262,0.9999999999999999
Barry Gardiner,1,66,0.009651647916403565,0.2830759316050169,0.41795754146414404,0.2794862542621811,0.009828624752254336,0.009651647916403565,0.2830759316050169,0.41795754146414404,0.2794862542621811,0.009828624752254336,0.9999999999999999
Charlotte Nichols (Warrington North),1,33,0.014479655356280726,0.01466869381111291,0.6692013884180691,0.28721271049872626,0.014437551915811017,0.014479655356280726,0.01466869381111291,0.6692013884180691,0.28721271049872626,0.014437551915811017,0.9999999999999999
"David Simmonds (Ruislip, Northwood and Pinner)",1,789,0.9974159336546383,0.0006480256043260418,0.000639991108820313,0.0006518844139930142,0.000644165218222154,0.9974159336546383,0.0006480256043260418,0.000639991108820313,0.0006518844139930142,0.000644165218222154,0.9999999999999999
Jim Shannon,1,816,0.0006649977160433148,0.6983552455552944,0.29964466732200246,0.0006705575995187963,0.0006645318071409279,0.0006649977160433148,0.6983552455552944,0.29964466732200246,0.0006705575995187963,0.0006645318071409279,0.9999999999999999
